keyword,zero_16_20,y2025_all_langs,is_g1,B_en,y2025_en,multiple_en,B_de,y2025_de,multiple_de,B_fr,y2025_fr,multiple_fr,B_it,y2025_it,multiple_it
MLOps,False,342,False,14.4,342,23.75,0.0,0,,0.0,0,,0.0,0,
Machine Learning,False,2761,False,3978.4,2677,0.67,133.1,67,0.5,5.5,10,1.82,2.9,7,2.41
Microsoft Copilot,True,49,True,0.0,49,,0.0,0,,0.0,0,,0.0,0,
Midjourney,True,41,True,0.0,41,,0.0,0,,0.0,0,,0.0,0,
Milvus,False,11,False,1.6,11,6.88,0.0,0,,0.0,0,,0.0,0,
Mistral,False,66,False,22.1,66,2.99,0.0,0,,0.0,0,,0.0,0,
Multimodal AI,True,30,True,0.0,28,,0.0,2,,0.0,0,,0.0,0,
Multimodal models,True,10,True,0.0,10,,0.0,0,,0.0,0,,0.0,0,
Music Generation,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Natural Language Generation,False,0,False,1.4,0,0.0,0.0,0,,0.0,0,,0.0,0,
Natural Language Processing,False,259,False,284.1,247,0.87,0.0,0,,3.8,7,1.84,0.0,5,
Neural Networks,False,119,False,220.9,104,0.47,10.9,13,1.19,3.7,2,0.54,0.4,0,0.0
OpenAI,False,163,False,0.2,163,815.0,0.0,0,,0.0,0,,0.0,0,
OpenAI API,True,21,True,0.0,21,,0.0,0,,0.0,0,,0.0,0,
OpenAI Codex,True,0,True,0.0,0,,0.0,0,,0.0,0,,0.0,0,
PaLM,False,65,False,21.2,65,3.07,0.0,0,,0.0,0,,0.0,0,
Pinecone,True,25,True,0.0,25,,0.0,0,,0.0,0,,0.0,0,
Prompt Engineer,True,0,True,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Prompt design,True,10,True,0.0,10,,0.0,0,,0.0,0,,0.0,0,
Prompt engineering,True,202,True,0.0,202,,0.0,0,,0.0,0,,0.0,0,
PyTorch,False,623,False,233.9,623,2.66,0.0,0,,0.0,0,,0.0,0,
RAG,True,119,True,0.0,119,,0.0,0,,0.0,0,,0.0,0,
Reinforcement Learning,False,98,False,86.1,96,1.11,0.0,1,,0.0,1,,0.2,0,0.0
Reinforcement Learning from Human Feedback,True,4,True,0.0,4,,0.0,0,,0.0,0,,0.0,0,
Responsible AI,False,98,False,1.8,93,51.67,0.0,2,,0.0,3,,0.0,0,
Retrieval augmented generation,True,119,True,0.0,119,,0.0,0,,0.0,0,,0.0,0,
RetrievalQA,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Self-Supervised Learning,False,10,False,3.2,10,3.12,0.0,0,,0.0,0,,0.0,0,
Stable Diffusion,True,4,True,0.0,4,,0.0,0,,0.0,0,,0.0,0,
StyleGAN,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Synthesia,True,12,True,0.0,12,,0.0,0,,0.0,0,,0.0,0,
Synthetic Media,True,0,True,0.0,0,,0.0,0,,0.0,0,,0.0,0,
T5,False,6,False,22.0,6,0.27,0.0,0,,0.0,0,,0.0,0,
TensorFlow,False,456,False,395.4,456,1.15,0.0,0,,0.0,0,,0.0,0,
Text to speech,False,3,False,2.2,3,1.36,0.0,0,,0.2,0,0.0,0.0,0,
Text-to-Image,True,4,True,0.0,4,,0.0,0,,0.0,0,,0.0,0,
Text-to-Video,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Transfer Learning,False,24,False,19.2,23,1.2,2.0,1,0.5,0.0,0,,0.0,0,
Transformer,False,943,False,344.1,943,2.74,0.0,0,,0.0,0,,0.0,0,
Transformer-based model,True,14,True,0.0,13,,0.0,0,,0.0,0,,0.0,1,
Unsupervised Learning,False,14,False,27.9,14,0.5,0.0,0,,0.0,0,,0.0,0,
Variational autoencoders,False,5,False,0.2,5,25.0,0.0,0,,0.0,0,,0.0,0,
Vector database,True,91,True,0.0,78,,0.0,11,,0.0,2,,0.0,0,
Virtual Assistant,False,26,False,2.6,23,8.85,0.0,0,,0.0,3,,0.0,0,
Voice Cloning,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Weaviate,True,12,True,0.0,12,,0.0,0,,0.0,0,,0.0,0,
Zero-Shot Learning,True,0,False,0.0,0,,0.0,0,,0.0,0,,0.0,0,
